size,m,n,rs_a,cs_a,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,5.120e+02,5.120e+00,1.216e+03,1.216e+01,1.000e+02
32,32,32,32,1,2.048e+03,3.413e+00,4.480e+03,7.467e+00,6.000e+02
48,48,48,48,1,4.608e+03,3.291e+00,9.792e+03,6.994e+00,1.400e+03
64,64,64,64,1,8.192e+03,3.151e+00,1.715e+04,6.597e+00,2.600e+03
80,80,80,80,1,1.280e+04,3.048e+00,2.656e+04,6.324e+00,4.200e+03
96,96,96,96,1,1.843e+04,2.880e+00,3.802e+04,5.940e+00,6.400e+03
112,112,112,112,1,2.509e+04,2.698e+00,5.152e+04,5.540e+00,9.300e+03
128,128,128,128,1,3.277e+04,2.501e+00,6.707e+04,5.120e+00,1.310e+04
144,144,144,144,1,4.147e+04,2.454e+00,8.467e+04,5.010e+00,1.690e+04
160,160,160,160,1,5.120e+04,2.404e+00,1.043e+05,4.898e+00,2.130e+04
176,176,176,176,1,6.195e+04,2.365e+00,1.260e+05,4.810e+00,2.620e+04
192,192,192,192,1,7.373e+04,2.341e+00,1.498e+05,4.754e+00,3.150e+04
208,208,208,208,1,8.653e+04,2.314e+00,1.756e+05,4.694e+00,3.740e+04
224,224,224,224,1,1.004e+05,2.291e+00,2.034e+05,4.644e+00,4.380e+04
240,240,240,240,1,1.152e+05,2.281e+00,2.333e+05,4.619e+00,5.050e+04
256,256,256,256,1,1.311e+05,2.260e+00,2.652e+05,4.573e+00,5.800e+04
272,272,272,272,1,1.480e+05,2.242e+00,2.992e+05,4.533e+00,6.600e+04
288,288,288,288,1,1.659e+05,2.239e+00,3.352e+05,4.524e+00,7.410e+04
304,304,304,304,1,1.848e+05,2.211e+00,3.733e+05,4.465e+00,8.360e+04
320,320,320,320,1,2.048e+05,2.205e+00,4.134e+05,4.450e+00,9.290e+04
336,336,336,336,1,2.258e+05,2.196e+00,4.556e+05,4.432e+00,1.028e+05
352,352,352,352,1,2.478e+05,2.185e+00,4.998e+05,4.408e+00,1.134e+05
368,368,368,368,1,2.708e+05,2.181e+00,5.461e+05,4.397e+00,1.242e+05
384,384,384,384,1,2.949e+05,2.178e+00,5.944e+05,4.390e+00,1.354e+05
400,400,400,400,1,3.200e+05,2.169e+00,6.448e+05,4.372e+00,1.475e+05
416,416,416,416,1,3.461e+05,2.166e+00,6.972e+05,4.363e+00,1.598e+05
432,432,432,432,1,3.732e+05,2.160e+00,7.517e+05,4.350e+00,1.728e+05
448,448,448,448,1,4.014e+05,2.151e+00,8.082e+05,4.331e+00,1.866e+05
464,464,464,464,1,4.306e+05,2.145e+00,8.668e+05,4.319e+00,2.007e+05
480,480,480,480,1,4.608e+05,2.143e+00,9.274e+05,4.313e+00,2.150e+05
496,496,496,496,1,4.920e+05,2.139e+00,9.900e+05,4.304e+00,2.300e+05
512,512,512,512,1,5.243e+05,2.133e+00,1.055e+06,4.291e+00,2.458e+05
528,528,528,528,1,5.576e+05,2.137e+00,1.121e+06,4.298e+00,2.609e+05
544,544,544,544,1,5.919e+05,2.131e+00,1.190e+06,4.285e+00,2.778e+05
560,560,560,560,1,6.272e+05,2.125e+00,1.261e+06,4.274e+00,2.951e+05
576,576,576,576,1,6.636e+05,2.125e+00,1.334e+06,4.273e+00,3.122e+05
