size,m,n,k,rs_a,cs_a,rs_b,cs_b,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,16,1,16,1,16,1,8.192e+03,3.562e+00,4.096e+03,1.781e+00,2.300e+03
32,32,32,32,32,1,32,1,32,1,6.554e+04,3.048e+00,1.638e+04,7.620e-01,2.150e+04
48,48,48,48,48,1,48,1,48,1,2.212e+05,2.993e+00,3.686e+04,4.988e-01,7.390e+04
64,64,64,64,64,1,64,1,64,1,5.243e+05,2.926e+00,6.554e+04,3.657e-01,1.792e+05
80,80,80,80,80,1,80,1,80,1,1.024e+06,2.707e+00,1.024e+05,2.707e-01,3.783e+05
96,96,96,96,96,1,96,1,96,1,1.769e+06,2.554e+00,1.475e+05,2.129e-01,6.927e+05
112,112,112,112,112,1,112,1,112,1,2.810e+06,2.366e+00,2.007e+05,1.690e-01,1.188e+06
128,128,128,128,128,1,128,1,128,1,4.194e+06,2.310e+00,2.621e+05,1.444e-01,1.816e+06
144,144,144,144,144,1,144,1,144,1,5.972e+06,2.281e+00,3.318e+05,1.267e-01,2.618e+06
160,160,160,160,160,1,160,1,160,1,8.192e+06,2.240e+00,4.096e+05,1.120e-01,3.658e+06
176,176,176,176,176,1,176,1,176,1,1.090e+07,2.229e+00,4.956e+05,1.013e-01,4.891e+06
192,192,192,192,192,1,192,1,192,1,1.416e+07,2.207e+00,5.898e+05,9.196e-02,6.414e+06
208,208,208,208,208,1,208,1,208,1,1.800e+07,2.194e+00,6.922e+05,8.437e-02,8.205e+06
224,224,224,224,224,1,224,1,224,1,2.248e+07,2.184e+00,8.028e+05,7.801e-02,1.029e+07
240,240,240,240,240,1,240,1,240,1,2.765e+07,2.144e+00,9.216e+05,7.148e-02,1.289e+07
256,256,256,256,256,1,256,1,256,1,3.355e+07,2.154e+00,1.049e+06,6.731e-02,1.558e+07
272,272,272,272,272,1,272,1,272,1,4.025e+07,2.126e+00,1.184e+06,6.252e-02,1.894e+07
288,288,288,288,288,1,288,1,288,1,4.778e+07,2.135e+00,1.327e+06,5.930e-02,2.238e+07
304,304,304,304,304,1,304,1,304,1,5.619e+07,2.125e+00,1.479e+06,5.593e-02,2.644e+07
320,320,320,320,320,1,320,1,320,1,6.554e+07,2.124e+00,1.638e+06,5.311e-02,3.085e+07
336,336,336,336,336,1,336,1,336,1,7.587e+07,2.117e+00,1.806e+06,5.042e-02,3.583e+07
352,352,352,352,352,1,352,1,352,1,8.723e+07,2.116e+00,1.982e+06,4.809e-02,4.123e+07
368,368,368,368,368,1,368,1,368,1,9.967e+07,2.107e+00,2.167e+06,4.580e-02,4.731e+07
384,384,384,384,384,1,384,1,384,1,1.132e+08,2.108e+00,2.359e+06,4.392e-02,5.371e+07
400,400,400,400,400,1,400,1,400,1,1.280e+08,2.101e+00,2.560e+06,4.203e-02,6.091e+07
416,416,416,416,416,1,416,1,416,1,1.440e+08,2.096e+00,2.769e+06,4.030e-02,6.870e+07
432,432,432,432,432,1,432,1,432,1,1.612e+08,2.087e+00,2.986e+06,3.864e-02,7.727e+07
448,448,448,448,448,1,448,1,448,1,1.798e+08,2.081e+00,3.211e+06,3.717e-02,8.640e+07
464,464,464,464,464,1,464,1,464,1,1.998e+08,2.076e+00,3.445e+06,3.579e-02,9.625e+07
480,480,480,480,480,1,480,1,480,1,2.212e+08,2.070e+00,3.686e+06,3.450e-02,1.069e+08
496,496,496,496,496,1,496,1,496,1,2.440e+08,2.071e+00,3.936e+06,3.340e-02,1.179e+08
512,512,512,512,512,1,512,1,512,1,2.684e+08,2.041e+00,4.194e+06,3.189e-02,1.315e+08
