size,m,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,1.600e+01,1.600e+00,6.800e+01,6.800e+00,1.000e+01
32,32,3.200e+01,1.067e+00,1.320e+02,4.400e+00,3.000e+01
48,48,4.800e+01,9.600e-01,1.960e+02,3.920e+00,5.000e+01
64,64,6.400e+01,1.067e+00,2.600e+02,4.333e+00,6.000e+01
80,80,8.000e+01,1.000e+00,3.240e+02,4.050e+00,8.000e+01
96,96,9.600e+01,1.067e+00,3.880e+02,4.311e+00,9.000e+01
112,112,1.120e+02,1.018e+00,4.520e+02,4.109e+00,1.100e+02
128,128,1.280e+02,1.067e+00,5.160e+02,4.300e+00,1.200e+02
144,144,1.440e+02,1.029e+00,5.800e+02,4.143e+00,1.400e+02
160,160,1.600e+02,1.067e+00,6.440e+02,4.293e+00,1.500e+02
176,176,1.760e+02,1.035e+00,7.080e+02,4.165e+00,1.700e+02
192,192,1.920e+02,1.011e+00,7.720e+02,4.063e+00,1.900e+02
208,208,2.080e+02,1.040e+00,8.360e+02,4.180e+00,2.000e+02
224,224,2.240e+02,1.018e+00,9.000e+02,4.091e+00,2.200e+02
240,240,2.400e+02,1.043e+00,9.640e+02,4.191e+00,2.300e+02
256,256,2.560e+02,1.024e+00,1.028e+03,4.112e+00,2.500e+02
272,272,2.720e+02,1.046e+00,1.092e+03,4.200e+00,2.600e+02
288,288,2.880e+02,1.029e+00,1.156e+03,4.129e+00,2.800e+02
304,304,3.040e+02,1.048e+00,1.220e+03,4.207e+00,2.900e+02
320,320,3.200e+02,1.032e+00,1.284e+03,4.142e+00,3.100e+02
336,336,3.360e+02,1.018e+00,1.348e+03,4.085e+00,3.300e+02
352,352,3.520e+02,1.035e+00,1.412e+03,4.153e+00,3.400e+02
368,368,3.680e+02,1.022e+00,1.476e+03,4.100e+00,3.600e+02
384,384,3.840e+02,1.038e+00,1.540e+03,4.162e+00,3.700e+02
400,400,4.000e+02,1.026e+00,1.604e+03,4.113e+00,3.900e+02
416,416,4.160e+02,1.040e+00,1.668e+03,4.170e+00,4.000e+02
432,432,4.320e+02,1.029e+00,1.732e+03,4.124e+00,4.200e+02
