size,m,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,1.600e+01,1.600e+00,1.320e+02,1.320e+01,1.000e+01
32,32,3.200e+01,3.200e+00,2.600e+02,2.600e+01,1.000e+01
48,48,4.800e+01,2.400e+00,3.880e+02,1.940e+01,2.000e+01
64,64,6.400e+01,2.133e+00,5.160e+02,1.720e+01,3.000e+01
80,80,8.000e+01,2.000e+00,6.440e+02,1.610e+01,4.000e+01
96,96,9.600e+01,2.400e+00,7.720e+02,1.930e+01,4.000e+01
112,112,1.120e+02,1.867e+00,9.000e+02,1.500e+01,6.000e+01
128,128,1.280e+02,1.829e+00,1.028e+03,1.469e+01,7.000e+01
144,144,1.440e+02,1.800e+00,1.156e+03,1.445e+01,8.000e+01
160,160,1.600e+02,2.000e+00,1.284e+03,1.605e+01,8.000e+01
176,176,1.760e+02,1.956e+00,1.412e+03,1.569e+01,9.000e+01
192,192,1.920e+02,1.371e+00,1.540e+03,1.100e+01,1.400e+02
208,208,2.080e+02,1.891e+00,1.668e+03,1.516e+01,1.100e+02
224,224,2.240e+02,2.036e+00,1.796e+03,1.633e+01,1.100e+02
240,240,2.400e+02,2.000e+00,1.924e+03,1.603e+01,1.200e+02
256,256,2.560e+02,1.969e+00,2.052e+03,1.578e+01,1.300e+02
272,272,2.720e+02,2.092e+00,2.180e+03,1.677e+01,1.300e+02
288,288,2.880e+02,1.800e+00,2.308e+03,1.443e+01,1.600e+02
304,304,3.040e+02,2.027e+00,2.436e+03,1.624e+01,1.500e+02
320,320,3.200e+02,2.000e+00,2.564e+03,1.602e+01,1.600e+02
336,336,3.360e+02,1.527e+00,2.692e+03,1.224e+01,2.200e+02
352,352,3.520e+02,1.956e+00,2.820e+03,1.567e+01,1.800e+02
368,368,3.680e+02,2.044e+00,2.948e+03,1.638e+01,1.800e+02
384,384,3.840e+02,2.021e+00,3.076e+03,1.619e+01,1.900e+02
400,400,4.000e+02,1.818e+00,3.204e+03,1.456e+01,2.200e+02
416,416,4.160e+02,2.080e+00,3.332e+03,1.666e+01,2.000e+02
432,432,4.320e+02,2.057e+00,3.460e+03,1.648e+01,2.100e+02
448,448,4.480e+02,2.036e+00,3.588e+03,1.631e+01,2.200e+02
464,464,4.640e+02,2.017e+00,3.716e+03,1.616e+01,2.300e+02
480,480,4.800e+02,2.000e+00,3.844e+03,1.602e+01,2.400e+02
496,496,4.960e+02,1.771e+00,3.972e+03,1.419e+01,2.800e+02
512,512,5.120e+02,2.048e+00,4.100e+03,1.640e+01,2.500e+02
528,528,5.280e+02,1.600e+00,4.228e+03,1.281e+01,3.300e+02
544,544,5.440e+02,1.470e+00,4.356e+03,1.177e+01,3.700e+02
560,560,5.600e+02,2.000e+00,4.484e+03,1.601e+01,2.800e+02
576,576,5.760e+02,2.057e+00,4.612e+03,1.647e+01,2.800e+02
592,592,5.920e+02,1.444e+00,4.740e+03,1.156e+01,4.100e+02
608,608,6.080e+02,2.027e+00,4.868e+03,1.623e+01,3.000e+02
624,624,6.240e+02,2.013e+00,4.996e+03,1.612e+01,3.100e+02
640,640,6.400e+02,2.000e+00,5.124e+03,1.601e+01,3.200e+02
656,656,6.560e+02,2.050e+00,5.252e+03,1.641e+01,3.200e+02
672,672,6.720e+02,2.036e+00,5.380e+03,1.630e+01,3.300e+02
688,688,6.880e+02,2.024e+00,5.508e+03,1.620e+01,3.400e+02
704,704,7.040e+02,2.011e+00,5.636e+03,1.610e+01,3.500e+02
720,720,7.200e+02,2.057e+00,5.764e+03,1.647e+01,3.500e+02
736,736,7.360e+02,2.044e+00,5.892e+03,1.637e+01,3.600e+02
752,752,7.520e+02,1.979e+00,6.020e+03,1.584e+01,3.800e+02
768,768,7.680e+02,1.707e+00,6.148e+03,1.366e+01,4.500e+02
784,784,7.840e+02,2.010e+00,6.276e+03,1.609e+01,3.900e+02
800,800,8.000e+02,2.051e+00,6.404e+03,1.642e+01,3.900e+02
816,816,8.160e+02,2.040e+00,6.532e+03,1.633e+01,4.000e+02
832,832,8.320e+02,2.029e+00,6.660e+03,1.624e+01,4.100e+02
848,848,8.480e+02,1.731e+00,6.788e+03,1.385e+01,4.900e+02
864,864,8.640e+02,2.009e+00,6.916e+03,1.608e+01,4.300e+02
880,880,8.800e+02,2.047e+00,7.044e+03,1.638e+01,4.300e+02
896,896,8.960e+02,2.036e+00,7.172e+03,1.630e+01,4.400e+02
912,912,9.120e+02,1.983e+00,7.300e+03,1.587e+01,4.600e+02
928,928,9.280e+02,2.017e+00,7.428e+03,1.615e+01,4.600e+02
944,944,9.440e+02,2.052e+00,7.556e+03,1.643e+01,4.600e+02
960,960,9.600e+02,2.043e+00,7.684e+03,1.635e+01,4.700e+02
976,976,9.760e+02,2.033e+00,7.812e+03,1.627e+01,4.800e+02
992,992,9.920e+02,2.024e+00,7.940e+03,1.620e+01,4.900e+02
1008,1008,1.008e+03,1.976e+00,8.068e+03,1.582e+01,5.100e+02
1024,1024,1.024e+03,2.048e+00,8.196e+03,1.639e+01,5.000e+02
1040,1040,1.040e+03,1.962e+00,8.324e+03,1.571e+01,5.300e+02
1056,1056,1.056e+03,1.853e+00,8.452e+03,1.483e+01,5.700e+02
1072,1072,1.072e+03,2.023e+00,8.580e+03,1.619e+01,5.300e+02
1088,1088,1.088e+03,2.015e+00,8.708e+03,1.613e+01,5.400e+02
1104,1104,1.104e+03,1.840e+00,8.836e+03,1.473e+01,6.000e+02
1120,1120,1.120e+03,1.965e+00,8.964e+03,1.573e+01,5.700e+02
1136,1136,1.136e+03,2.029e+00,9.092e+03,1.624e+01,5.600e+02
1152,1152,1.152e+03,1.953e+00,9.220e+03,1.563e+01,5.900e+02
1168,1168,1.168e+03,1.825e+00,9.348e+03,1.461e+01,6.400e+02
1184,1184,1.184e+03,2.041e+00,9.476e+03,1.634e+01,5.800e+02
1200,1200,1.200e+03,1.714e+00,9.604e+03,1.372e+01,7.000e+02
1216,1216,1.216e+03,2.027e+00,9.732e+03,1.622e+01,6.000e+02
1232,1232,1.232e+03,1.600e+00,9.860e+03,1.281e+01,7.700e+02
1248,1248,1.248e+03,1.710e+00,9.988e+03,1.368e+01,7.300e+02
1264,1264,1.264e+03,1.420e+00,1.012e+04,1.137e+01,8.900e+02
1280,1280,1.280e+03,1.561e+00,1.024e+04,1.249e+01,8.200e+02
1296,1296,1.296e+03,1.490e+00,1.037e+04,1.192e+01,8.700e+02
1312,1312,1.312e+03,1.682e+00,1.050e+04,1.346e+01,7.800e+02
1328,1328,1.328e+03,2.043e+00,1.063e+04,1.635e+01,6.500e+02
1344,1344,1.344e+03,2.036e+00,1.076e+04,1.630e+01,6.600e+02
1360,1360,1.360e+03,2.061e+00,1.088e+04,1.649e+01,6.600e+02
1376,1376,1.376e+03,2.024e+00,1.101e+04,1.619e+01,6.800e+02
1392,1392,1.392e+03,2.047e+00,1.114e+04,1.638e+01,6.800e+02
1408,1408,1.408e+03,2.041e+00,1.127e+04,1.633e+01,6.900e+02
1424,1424,1.424e+03,2.034e+00,1.140e+04,1.628e+01,7.000e+02
1440,1440,1.440e+03,2.028e+00,1.152e+04,1.623e+01,7.100e+02
1456,1456,1.456e+03,2.051e+00,1.165e+04,1.641e+01,7.100e+02
1472,1472,1.472e+03,2.044e+00,1.178e+04,1.636e+01,7.200e+02
1488,1488,1.488e+03,2.011e+00,1.191e+04,1.609e+01,7.400e+02
1504,1504,1.504e+03,2.032e+00,1.204e+04,1.626e+01,7.400e+02
1520,1520,1.520e+03,2.054e+00,1.216e+04,1.644e+01,7.400e+02
