size,m,n,rs_a,cs_a,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,16,1,2.560e+02,2.560e+00,2.048e+03,2.048e+01,1.000e+02
32,32,32,32,1,32,1,1.024e+03,3.413e+00,8.192e+03,2.731e+01,3.000e+02
48,48,48,48,1,48,1,2.304e+03,2.880e+00,1.843e+04,2.304e+01,8.000e+02
64,64,64,64,1,64,1,4.096e+03,2.560e+00,3.277e+04,2.048e+01,1.600e+03
80,80,80,80,1,80,1,6.400e+03,2.560e+00,5.120e+04,2.048e+01,2.500e+03
96,96,96,96,1,96,1,9.216e+03,1.646e+00,7.373e+04,1.317e+01,5.600e+03
112,112,112,112,1,112,1,1.254e+04,2.460e+00,1.004e+05,1.968e+01,5.100e+03
128,128,128,128,1,128,1,1.638e+04,3.967e-01,1.311e+05,3.174e+00,4.130e+04
144,144,144,144,1,144,1,2.074e+04,2.206e+00,1.659e+05,1.765e+01,9.400e+03
160,160,160,160,1,160,1,2.560e+04,2.207e+00,2.048e+05,1.766e+01,1.160e+04
176,176,176,176,1,176,1,3.098e+04,2.648e+00,2.478e+05,2.118e+01,1.170e+04
192,192,192,192,1,192,1,3.686e+04,1.276e+00,2.949e+05,1.020e+01,2.890e+04
208,208,208,208,1,208,1,4.326e+04,2.671e+00,3.461e+05,2.136e+01,1.620e+04
224,224,224,224,1,224,1,5.018e+04,2.436e+00,4.014e+05,1.949e+01,2.060e+04
240,240,240,240,1,240,1,5.760e+04,2.549e+00,4.608e+05,2.039e+01,2.260e+04
256,256,256,256,1,256,1,6.554e+04,3.703e-01,5.243e+05,2.962e+00,1.770e+05
272,272,272,272,1,272,1,7.398e+04,2.049e+00,5.919e+05,1.640e+01,3.610e+04
288,288,288,288,1,288,1,8.294e+04,1.550e+00,6.636e+05,1.240e+01,5.350e+04
304,304,304,304,1,304,1,9.242e+04,1.937e+00,7.393e+05,1.550e+01,4.770e+04
320,320,320,320,1,320,1,1.024e+05,1.225e+00,8.192e+05,9.799e+00,8.360e+04
336,336,336,336,1,336,1,1.129e+05,1.888e+00,9.032e+05,1.510e+01,5.980e+04
352,352,352,352,1,352,1,1.239e+05,1.249e+00,9.912e+05,9.992e+00,9.920e+04
368,368,368,368,1,368,1,1.354e+05,1.863e+00,1.083e+06,1.490e+01,7.270e+04
384,384,384,384,1,384,1,1.475e+05,6.014e-01,1.180e+06,4.811e+00,2.452e+05
400,400,400,400,1,400,1,1.600e+05,1.843e+00,1.280e+06,1.475e+01,8.680e+04
416,416,416,416,1,416,1,1.731e+05,1.223e+00,1.384e+06,9.784e+00,1.415e+05
432,432,432,432,1,432,1,1.866e+05,1.824e+00,1.493e+06,1.459e+01,1.023e+05
448,448,448,448,1,448,1,2.007e+05,1.210e+00,1.606e+06,9.678e+00,1.659e+05
464,464,464,464,1,464,1,2.153e+05,1.805e+00,1.722e+06,1.444e+01,1.193e+05
480,480,480,480,1,480,1,2.304e+05,1.211e+00,1.843e+06,9.686e+00,1.903e+05
496,496,496,496,1,496,1,2.460e+05,1.784e+00,1.968e+06,1.427e+01,1.379e+05
512,512,512,512,1,512,1,2.621e+05,2.862e-01,2.097e+06,2.289e+00,9.161e+05
528,528,528,528,1,528,1,2.788e+05,1.706e+00,2.230e+06,1.365e+01,1.634e+05
544,544,544,544,1,544,1,2.959e+05,1.200e+00,2.367e+06,9.597e+00,2.467e+05
560,560,560,560,1,560,1,3.136e+05,1.444e+00,2.509e+06,1.156e+01,2.171e+05
576,576,576,576,1,576,1,3.318e+05,1.199e+00,2.654e+06,9.589e+00,2.768e+05
592,592,592,592,1,592,1,3.505e+05,1.345e+00,2.804e+06,1.076e+01,2.605e+05
608,608,608,608,1,608,1,3.697e+05,1.207e+00,2.957e+06,9.655e+00,3.063e+05
624,624,624,624,1,624,1,3.894e+05,1.322e+00,3.115e+06,1.058e+01,2.945e+05
640,640,640,640,1,640,1,4.096e+05,4.706e-01,3.277e+06,3.765e+00,8.703e+05
656,656,656,656,1,656,1,4.303e+05,1.252e+00,3.443e+06,1.001e+01,3.438e+05
672,672,672,672,1,672,1,4.516e+05,1.171e+00,3.613e+06,9.364e+00,3.858e+05
688,688,688,688,1,688,1,4.733e+05,1.220e+00,3.787e+06,9.760e+00,3.880e+05
704,704,704,704,1,704,1,4.956e+05,1.163e+00,3.965e+06,9.303e+00,4.262e+05
720,720,720,720,1,720,1,5.184e+05,1.224e+00,4.147e+06,9.793e+00,4.235e+05
736,736,736,736,1,736,1,5.417e+05,1.171e+00,4.334e+06,9.370e+00,4.625e+05
752,752,752,752,1,752,1,5.655e+05,1.220e+00,4.524e+06,9.763e+00,4.634e+05
768,768,768,768,1,768,1,5.898e+05,3.338e-01,4.719e+06,2.671e+00,1.767e+06
784,784,784,784,1,784,1,6.147e+05,1.215e+00,4.917e+06,9.720e+00,5.059e+05
800,800,800,800,1,800,1,6.400e+05,1.167e+00,5.120e+06,9.336e+00,5.484e+05
816,816,816,816,1,816,1,6.659e+05,1.209e+00,5.327e+06,9.669e+00,5.509e+05
832,832,832,832,1,832,1,6.922e+05,1.150e+00,5.538e+06,9.199e+00,6.020e+05
848,848,848,848,1,848,1,7.191e+05,1.207e+00,5.753e+06,9.659e+00,5.956e+05
864,864,864,864,1,864,1,7.465e+05,1.166e+00,5.972e+06,9.327e+00,6.403e+05
880,880,880,880,1,880,1,7.744e+05,1.204e+00,6.195e+06,9.632e+00,6.432e+05
896,896,896,896,1,896,1,8.028e+05,4.560e-01,6.423e+06,3.648e+00,1.761e+06
912,912,912,912,1,912,1,8.317e+05,1.204e+00,6.654e+06,9.634e+00,6.907e+05
928,928,928,928,1,928,1,8.612e+05,1.167e+00,6.889e+06,9.335e+00,7.380e+05
944,944,944,944,1,944,1,8.911e+05,1.205e+00,7.129e+06,9.638e+00,7.397e+05
960,960,960,960,1,960,1,9.216e+05,1.132e+00,7.373e+06,9.054e+00,8.143e+05
976,976,976,976,1,976,1,9.526e+05,1.204e+00,7.621e+06,9.635e+00,7.909e+05
992,992,992,992,1,992,1,9.841e+05,1.164e+00,7.873e+06,9.315e+00,8.451e+05
1008,1008,1008,1008,1,1008,1,1.016e+06,1.174e+00,8.129e+06,9.395e+00,8.652e+05
1024,1024,1024,1024,1,1024,1,1.049e+06,1.594e-01,8.389e+06,1.275e+00,6.578e+06
1040,1040,1040,1040,1,1040,1,1.082e+06,1.180e+00,8.653e+06,9.438e+00,9.168e+05
1056,1056,1056,1056,1,1056,1,1.115e+06,1.166e+00,8.921e+06,9.329e+00,9.563e+05
