size,m,n,rs_a,cs_a,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,16,1,2.560e+02,2.560e+00,2.048e+03,2.048e+01,1.000e+02
32,32,32,32,1,32,1,1.024e+03,2.560e+00,8.192e+03,2.048e+01,4.000e+02
48,48,48,48,1,48,1,2.304e+03,2.560e+00,1.843e+04,2.048e+01,9.000e+02
64,64,64,64,1,64,1,4.096e+03,2.276e+00,3.277e+04,1.820e+01,1.800e+03
80,80,80,80,1,80,1,6.400e+03,2.667e+00,5.120e+04,2.133e+01,2.400e+03
96,96,96,96,1,96,1,9.216e+03,2.143e+00,7.373e+04,1.715e+01,4.300e+03
112,112,112,112,1,112,1,1.254e+04,2.201e+00,1.004e+05,1.761e+01,5.700e+03
128,128,128,128,1,128,1,1.638e+04,4.006e-01,1.311e+05,3.205e+00,4.090e+04
144,144,144,144,1,144,1,2.074e+04,2.529e+00,1.659e+05,2.023e+01,8.200e+03
160,160,160,160,1,160,1,2.560e+04,2.535e+00,2.048e+05,2.028e+01,1.010e+04
176,176,176,176,1,176,1,3.098e+04,2.581e+00,2.478e+05,2.065e+01,1.200e+04
192,192,192,192,1,192,1,3.686e+04,1.254e+00,2.949e+05,1.003e+01,2.940e+04
208,208,208,208,1,208,1,4.326e+04,2.606e+00,3.461e+05,2.085e+01,1.660e+04
224,224,224,224,1,224,1,5.018e+04,2.484e+00,4.014e+05,1.987e+01,2.020e+04
240,240,240,240,1,240,1,5.760e+04,2.618e+00,4.608e+05,2.095e+01,2.200e+04
256,256,256,256,1,256,1,6.554e+04,3.619e-01,5.243e+05,2.895e+00,1.811e+05
272,272,272,272,1,272,1,7.398e+04,2.005e+00,5.919e+05,1.604e+01,3.690e+04
288,288,288,288,1,288,1,8.294e+04,1.481e+00,6.636e+05,1.185e+01,5.600e+04
304,304,304,304,1,304,1,9.242e+04,1.937e+00,7.393e+05,1.550e+01,4.770e+04
320,320,320,320,1,320,1,1.024e+05,1.205e+00,8.192e+05,9.638e+00,8.500e+04
