size,m,n,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,5.120e+02,5.120e+00,2.176e+03,2.176e+01,1.000e+02
32,32,32,32,1,2.048e+03,4.096e+00,8.448e+03,1.690e+01,5.000e+02
48,48,48,48,1,4.608e+03,3.072e+00,1.882e+04,1.254e+01,1.500e+03
64,64,64,64,1,8.192e+03,4.096e+00,3.328e+04,1.664e+01,2.000e+03
80,80,80,80,1,1.280e+04,4.000e+00,5.184e+04,1.620e+01,3.200e+03
96,96,96,96,1,1.843e+04,3.351e+00,7.450e+04,1.354e+01,5.500e+03
112,112,112,112,1,2.509e+04,3.584e+00,1.012e+05,1.446e+01,7.000e+03
128,128,128,128,1,3.277e+04,3.724e+00,1.321e+05,1.501e+01,8.800e+03
144,144,144,144,1,4.147e+04,3.736e+00,1.670e+05,1.505e+01,1.110e+04
160,160,160,160,1,5.120e+04,3.737e+00,2.061e+05,1.504e+01,1.370e+04
176,176,176,176,1,6.195e+04,3.778e+00,2.492e+05,1.520e+01,1.640e+04
192,192,192,192,1,7.373e+04,3.781e+00,2.964e+05,1.520e+01,1.950e+04
208,208,208,208,1,8.653e+04,3.795e+00,3.478e+05,1.525e+01,2.280e+04
224,224,224,224,1,1.004e+05,3.801e+00,4.032e+05,1.527e+01,2.640e+04
240,240,240,240,1,1.152e+05,3.815e+00,4.627e+05,1.532e+01,3.020e+04
256,256,256,256,1,1.311e+05,3.821e+00,5.263e+05,1.535e+01,3.430e+04
272,272,272,272,1,1.480e+05,3.823e+00,5.940e+05,1.535e+01,3.870e+04
288,288,288,288,1,1.659e+05,3.814e+00,6.659e+05,1.531e+01,4.350e+04
304,304,304,304,1,1.848e+05,3.827e+00,7.418e+05,1.536e+01,4.830e+04
320,320,320,320,1,2.048e+05,3.828e+00,8.218e+05,1.536e+01,5.350e+04
336,336,336,336,1,2.258e+05,3.827e+00,9.059e+05,1.535e+01,5.900e+04
352,352,352,352,1,2.478e+05,3.807e+00,9.940e+05,1.527e+01,6.510e+04
368,368,368,368,1,2.708e+05,3.799e+00,1.086e+06,1.524e+01,7.130e+04
384,384,384,384,1,2.949e+05,3.805e+00,1.183e+06,1.526e+01,7.750e+04
400,400,400,400,1,3.200e+05,3.810e+00,1.283e+06,1.528e+01,8.400e+04
416,416,416,416,1,3.461e+05,3.816e+00,1.388e+06,1.530e+01,9.070e+04
432,432,432,432,1,3.732e+05,3.789e+00,1.496e+06,1.519e+01,9.850e+04
448,448,448,448,1,4.014e+05,3.794e+00,1.609e+06,1.521e+01,1.058e+05
464,464,464,464,1,4.306e+05,3.797e+00,1.726e+06,1.522e+01,1.134e+05
480,480,480,480,1,4.608e+05,3.793e+00,1.847e+06,1.520e+01,1.215e+05
496,496,496,496,1,4.920e+05,3.788e+00,1.972e+06,1.518e+01,1.299e+05
512,512,512,512,1,5.243e+05,3.794e+00,2.101e+06,1.520e+01,1.382e+05
528,528,528,528,1,5.576e+05,3.793e+00,2.234e+06,1.520e+01,1.470e+05
