size,m,n,rs_c,cs_c,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,5.120e+02,5.120e+00,2.176e+03,2.176e+01,1.000e+02
32,32,32,32,1,2.048e+03,2.926e+00,8.448e+03,1.207e+01,7.000e+02
48,48,48,48,1,4.608e+03,3.840e+00,1.882e+04,1.568e+01,1.200e+03
64,64,64,64,1,8.192e+03,3.901e+00,3.328e+04,1.585e+01,2.100e+03
80,80,80,80,1,1.280e+04,4.000e+00,5.184e+04,1.620e+01,3.200e+03
96,96,96,96,1,1.843e+04,3.840e+00,7.450e+04,1.552e+01,4.800e+03
112,112,112,112,1,2.509e+04,3.689e+00,1.012e+05,1.489e+01,6.800e+03
128,128,128,128,1,3.277e+04,3.641e+00,1.321e+05,1.468e+01,9.000e+03
144,144,144,144,1,4.147e+04,3.670e+00,1.670e+05,1.478e+01,1.130e+04
160,160,160,160,1,5.120e+04,3.683e+00,2.061e+05,1.483e+01,1.390e+04
176,176,176,176,1,6.195e+04,3.710e+00,2.492e+05,1.492e+01,1.670e+04
192,192,192,192,1,7.373e+04,3.724e+00,2.964e+05,1.497e+01,1.980e+04
208,208,208,208,1,8.653e+04,3.762e+00,3.478e+05,1.512e+01,2.300e+04
224,224,224,224,1,1.004e+05,3.744e+00,4.032e+05,1.504e+01,2.680e+04
240,240,240,240,1,1.152e+05,3.777e+00,4.627e+05,1.517e+01,3.050e+04
256,256,256,256,1,1.311e+05,3.777e+00,5.263e+05,1.517e+01,3.470e+04
272,272,272,272,1,1.480e+05,3.775e+00,5.940e+05,1.515e+01,3.920e+04
288,288,288,288,1,1.659e+05,3.779e+00,6.659e+05,1.517e+01,4.390e+04
304,304,304,304,1,1.848e+05,3.780e+00,7.418e+05,1.517e+01,4.890e+04
320,320,320,320,1,2.048e+05,3.793e+00,8.218e+05,1.522e+01,5.400e+04
336,336,336,336,1,2.258e+05,3.788e+00,9.059e+05,1.520e+01,5.960e+04
352,352,352,352,1,2.478e+05,3.749e+00,9.940e+05,1.504e+01,6.610e+04
368,368,368,368,1,2.708e+05,3.751e+00,1.086e+06,1.505e+01,7.220e+04
384,384,384,384,1,2.949e+05,3.762e+00,1.183e+06,1.509e+01,7.840e+04
400,400,400,400,1,3.200e+05,3.747e+00,1.283e+06,1.503e+01,8.540e+04
416,416,416,416,1,3.461e+05,3.726e+00,1.388e+06,1.494e+01,9.290e+04
432,432,432,432,1,3.732e+05,3.729e+00,1.496e+06,1.495e+01,1.001e+05
448,448,448,448,1,4.014e+05,3.755e+00,1.609e+06,1.505e+01,1.069e+05
464,464,464,464,1,4.306e+05,3.761e+00,1.726e+06,1.507e+01,1.145e+05
480,480,480,480,1,4.608e+05,3.756e+00,1.847e+06,1.505e+01,1.227e+05
496,496,496,496,1,4.920e+05,3.756e+00,1.972e+06,1.505e+01,1.310e+05
512,512,512,512,1,5.243e+05,3.761e+00,2.101e+06,1.507e+01,1.394e+05
528,528,528,528,1,5.576e+05,3.765e+00,2.234e+06,1.509e+01,1.481e+05
544,544,544,544,1,5.919e+05,3.767e+00,2.372e+06,1.510e+01,1.571e+05
560,560,560,560,1,6.272e+05,3.758e+00,2.513e+06,1.506e+01,1.669e+05
576,576,576,576,1,6.636e+05,3.766e+00,2.659e+06,1.509e+01,1.762e+05
592,592,592,592,1,7.009e+05,3.758e+00,2.808e+06,1.506e+01,1.865e+05
608,608,608,608,1,7.393e+05,3.753e+00,2.962e+06,1.504e+01,1.970e+05
624,624,624,624,1,7.788e+05,3.757e+00,3.120e+06,1.505e+01,2.073e+05
640,640,640,640,1,8.192e+05,3.756e+00,3.282e+06,1.505e+01,2.181e+05
656,656,656,656,1,8.607e+05,3.753e+00,3.448e+06,1.504e+01,2.293e+05
672,672,672,672,1,9.032e+05,3.759e+00,3.618e+06,1.506e+01,2.403e+05
688,688,688,688,1,9.467e+05,3.752e+00,3.792e+06,1.503e+01,2.523e+05
704,704,704,704,1,9.912e+05,3.762e+00,3.971e+06,1.507e+01,2.635e+05
720,720,720,720,1,1.037e+06,3.759e+00,4.153e+06,1.506e+01,2.758e+05
736,736,736,736,1,1.083e+06,3.764e+00,4.339e+06,1.508e+01,2.878e+05
752,752,752,752,1,1.131e+06,3.760e+00,4.530e+06,1.506e+01,3.008e+05
768,768,768,768,1,1.180e+06,3.760e+00,4.725e+06,1.506e+01,3.137e+05
784,784,784,784,1,1.229e+06,3.766e+00,4.924e+06,1.508e+01,3.264e+05
800,800,800,800,1,1.280e+06,3.751e+00,5.126e+06,1.502e+01,3.412e+05
816,816,816,816,1,1.332e+06,3.745e+00,5.333e+06,1.500e+01,3.556e+05
832,832,832,832,1,1.384e+06,3.770e+00,5.544e+06,1.510e+01,3.672e+05
848,848,848,848,1,1.438e+06,3.763e+00,5.760e+06,1.507e+01,3.822e+05
864,864,864,864,1,1.493e+06,3.748e+00,5.979e+06,1.501e+01,3.983e+05
880,880,880,880,1,1.549e+06,3.756e+00,6.202e+06,1.504e+01,4.123e+05
896,896,896,896,1,1.606e+06,3.761e+00,6.430e+06,1.506e+01,4.269e+05
912,912,912,912,1,1.663e+06,3.760e+00,6.661e+06,1.506e+01,4.424e+05
928,928,928,928,1,1.722e+06,3.761e+00,6.897e+06,1.506e+01,4.580e+05
944,944,944,944,1,1.782e+06,3.755e+00,7.137e+06,1.503e+01,4.747e+05
960,960,960,960,1,1.843e+06,3.760e+00,7.380e+06,1.506e+01,4.902e+05
976,976,976,976,1,1.905e+06,3.773e+00,7.628e+06,1.511e+01,5.050e+05
992,992,992,992,1,1.968e+06,3.775e+00,7.880e+06,1.511e+01,5.214e+05
1008,1008,1008,1008,1,2.032e+06,3.774e+00,8.137e+06,1.511e+01,5.385e+05
1024,1024,1024,1024,1,2.097e+06,3.788e+00,8.397e+06,1.517e+01,5.536e+05
1040,1040,1040,1040,1,2.163e+06,3.774e+00,8.661e+06,1.511e+01,5.732e+05
1056,1056,1056,1056,1,2.230e+06,3.778e+00,8.930e+06,1.512e+01,5.904e+05
1072,1072,1072,1072,1,2.298e+06,3.775e+00,9.202e+06,1.512e+01,6.088e+05
1088,1088,1088,1088,1,2.367e+06,3.778e+00,9.479e+06,1.512e+01,6.267e+05
1104,1104,1104,1104,1,2.438e+06,3.766e+00,9.759e+06,1.508e+01,6.473e+05
1120,1120,1120,1120,1,2.509e+06,3.777e+00,1.004e+07,1.512e+01,6.642e+05
1136,1136,1136,1136,1,2.581e+06,3.774e+00,1.033e+07,1.511e+01,6.838e+05
1152,1152,1152,1152,1,2.654e+06,3.778e+00,1.063e+07,1.512e+01,7.026e+05
1168,1168,1168,1168,1,2.728e+06,3.778e+00,1.092e+07,1.512e+01,7.222e+05
1184,1184,1184,1184,1,2.804e+06,3.782e+00,1.122e+07,1.514e+01,7.414e+05
1200,1200,1200,1200,1,2.880e+06,3.776e+00,1.153e+07,1.512e+01,7.627e+05
1216,1216,1216,1216,1,2.957e+06,3.778e+00,1.184e+07,1.513e+01,7.827e+05
1232,1232,1232,1232,1,3.036e+06,3.777e+00,1.215e+07,1.512e+01,8.038e+05
1248,1248,1248,1248,1,3.115e+06,3.777e+00,1.247e+07,1.512e+01,8.247e+05
1264,1264,1264,1264,1,3.195e+06,3.774e+00,1.279e+07,1.511e+01,8.467e+05
1280,1280,1280,1280,1,3.277e+06,3.778e+00,1.312e+07,1.512e+01,8.673e+05
1296,1296,1296,1296,1,3.359e+06,3.776e+00,1.345e+07,1.511e+01,8.897e+05
1312,1312,1312,1312,1,3.443e+06,3.776e+00,1.378e+07,1.512e+01,9.117e+05
1328,1328,1328,1328,1,3.527e+06,3.774e+00,1.412e+07,1.511e+01,9.345e+05
1344,1344,1344,1344,1,3.613e+06,3.775e+00,1.446e+07,1.511e+01,9.569e+05
1360,1360,1360,1360,1,3.699e+06,3.775e+00,1.481e+07,1.511e+01,9.798e+05
1376,1376,1376,1376,1,3.787e+06,3.776e+00,1.516e+07,1.511e+01,1.003e+06
1392,1392,1392,1392,1,3.875e+06,3.770e+00,1.551e+07,1.509e+01,1.028e+06
1408,1408,1408,1408,1,3.965e+06,3.776e+00,1.587e+07,1.512e+01,1.050e+06
1424,1424,1424,1424,1,4.056e+06,3.775e+00,1.623e+07,1.511e+01,1.074e+06
1440,1440,1440,1440,1,4.147e+06,3.775e+00,1.660e+07,1.511e+01,1.099e+06
1456,1456,1456,1456,1,4.240e+06,3.773e+00,1.697e+07,1.510e+01,1.124e+06
1472,1472,1472,1472,1,4.334e+06,3.774e+00,1.735e+07,1.511e+01,1.148e+06
1488,1488,1488,1488,1,4.428e+06,3.773e+00,1.773e+07,1.510e+01,1.174e+06
1504,1504,1504,1504,1,4.524e+06,3.775e+00,1.811e+07,1.511e+01,1.198e+06
1520,1520,1520,1520,1,4.621e+06,3.774e+00,1.850e+07,1.511e+01,1.224e+06
