size,m,n,rs_a,cs_a,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,5.120e+02,5.120e+00,1.216e+03,1.216e+01,1.000e+02
32,32,32,32,1,2.048e+03,3.413e+00,4.480e+03,7.467e+00,6.000e+02
48,48,48,48,1,4.608e+03,3.072e+00,9.792e+03,6.528e+00,1.500e+03
64,64,64,64,1,8.192e+03,3.034e+00,1.715e+04,6.353e+00,2.700e+03
80,80,80,80,1,1.280e+04,3.048e+00,2.656e+04,6.324e+00,4.200e+03
96,96,96,96,1,1.843e+04,2.793e+00,3.802e+04,5.760e+00,6.600e+03
112,112,112,112,1,2.509e+04,2.560e+00,5.152e+04,5.257e+00,9.800e+03
128,128,128,128,1,3.277e+04,2.464e+00,6.707e+04,5.043e+00,1.330e+04
144,144,144,144,1,4.147e+04,2.425e+00,8.467e+04,4.952e+00,1.710e+04
160,160,160,160,1,5.120e+04,2.381e+00,1.043e+05,4.852e+00,2.150e+04
176,176,176,176,1,6.195e+04,2.338e+00,1.260e+05,4.755e+00,2.650e+04
192,192,192,192,1,7.373e+04,2.311e+00,1.498e+05,4.695e+00,3.190e+04
208,208,208,208,1,8.653e+04,2.295e+00,1.756e+05,4.657e+00,3.770e+04
224,224,224,224,1,1.004e+05,2.270e+00,2.034e+05,4.602e+00,4.420e+04
240,240,240,240,1,1.152e+05,2.259e+00,2.333e+05,4.574e+00,5.100e+04
256,256,256,256,1,1.311e+05,2.248e+00,2.652e+05,4.549e+00,5.830e+04
272,272,272,272,1,1.480e+05,2.222e+00,2.992e+05,4.492e+00,6.660e+04
288,288,288,288,1,1.659e+05,2.215e+00,3.352e+05,4.476e+00,7.490e+04
304,304,304,304,1,1.848e+05,2.211e+00,3.733e+05,4.465e+00,8.360e+04
320,320,320,320,1,2.048e+05,2.174e+00,4.134e+05,4.389e+00,9.420e+04
336,336,336,336,1,2.258e+05,2.169e+00,4.556e+05,4.377e+00,1.041e+05
352,352,352,352,1,2.478e+05,2.166e+00,4.998e+05,4.369e+00,1.144e+05
368,368,368,368,1,2.708e+05,2.156e+00,5.461e+05,4.348e+00,1.256e+05
384,384,384,384,1,2.949e+05,2.154e+00,5.944e+05,4.342e+00,1.369e+05
400,400,400,400,1,3.200e+05,2.155e+00,6.448e+05,4.342e+00,1.485e+05
416,416,416,416,1,3.461e+05,2.142e+00,6.972e+05,4.314e+00,1.616e+05
432,432,432,432,1,3.732e+05,2.141e+00,7.517e+05,4.313e+00,1.743e+05
448,448,448,448,1,4.014e+05,2.141e+00,8.082e+05,4.310e+00,1.875e+05
464,464,464,464,1,4.306e+05,2.131e+00,8.668e+05,4.289e+00,2.021e+05
480,480,480,480,1,4.608e+05,2.126e+00,9.274e+05,4.279e+00,2.167e+05
496,496,496,496,1,4.920e+05,2.120e+00,9.900e+05,4.265e+00,2.321e+05
512,512,512,512,1,5.243e+05,2.121e+00,1.055e+06,4.267e+00,2.472e+05
528,528,528,528,1,5.576e+05,2.112e+00,1.121e+06,4.248e+00,2.640e+05
544,544,544,544,1,5.919e+05,2.115e+00,1.190e+06,4.252e+00,2.799e+05
560,560,560,560,1,6.272e+05,2.112e+00,1.261e+06,4.246e+00,2.970e+05
576,576,576,576,1,6.636e+05,2.110e+00,1.334e+06,4.242e+00,3.145e+05
