size,m,n,rs_a,cs_a,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,16,1,5.120e+02,2.560e+00,1.216e+03,6.080e+00,2.000e+02
32,32,32,32,1,2.048e+03,2.048e+00,4.480e+03,4.480e+00,1.000e+03
48,48,48,48,1,4.608e+03,1.646e+00,9.792e+03,3.497e+00,2.800e+03
64,64,64,64,1,8.192e+03,1.463e+00,1.715e+04,3.063e+00,5.600e+03
80,80,80,80,1,1.280e+04,1.422e+00,2.656e+04,2.951e+00,9.000e+03
96,96,96,96,1,1.843e+04,1.254e+00,3.802e+04,2.586e+00,1.470e+04
112,112,112,112,1,2.509e+04,1.200e+00,5.152e+04,2.465e+00,2.090e+04
128,128,128,128,1,3.277e+04,6.841e-01,6.707e+04,1.400e+00,4.790e+04
144,144,144,144,1,4.147e+04,7.065e-01,8.467e+04,1.442e+00,5.870e+04
160,160,160,160,1,5.120e+04,6.710e-01,1.043e+05,1.367e+00,7.630e+04
176,176,176,176,1,6.195e+04,6.930e-01,1.260e+05,1.410e+00,8.940e+04
192,192,192,192,1,7.373e+04,7.402e-01,1.498e+05,1.504e+00,9.960e+04
208,208,208,208,1,8.653e+04,9.572e-01,1.756e+05,1.942e+00,9.040e+04
224,224,224,224,1,1.004e+05,1.274e+00,2.034e+05,2.581e+00,7.880e+04
240,240,240,240,1,1.152e+05,1.462e+00,2.333e+05,2.960e+00,7.880e+04
256,256,256,256,1,1.311e+05,1.515e+00,2.652e+05,3.066e+00,8.650e+04
272,272,272,272,1,1.480e+05,1.535e+00,2.992e+05,3.104e+00,9.640e+04
288,288,288,288,1,1.659e+05,1.526e+00,3.352e+05,3.084e+00,1.087e+05
304,304,304,304,1,1.848e+05,1.518e+00,3.733e+05,3.065e+00,1.218e+05
320,320,320,320,1,2.048e+05,1.511e+00,4.134e+05,3.051e+00,1.355e+05
336,336,336,336,1,2.258e+05,1.505e+00,4.556e+05,3.037e+00,1.500e+05
352,352,352,352,1,2.478e+05,1.483e+00,4.998e+05,2.991e+00,1.671e+05
368,368,368,368,1,2.708e+05,1.300e+00,5.461e+05,2.622e+00,2.083e+05
384,384,384,384,1,2.949e+05,1.376e+00,5.944e+05,2.774e+00,2.143e+05
400,400,400,400,1,3.200e+05,1.376e+00,6.448e+05,2.772e+00,2.326e+05
416,416,416,416,1,3.461e+05,1.369e+00,6.972e+05,2.758e+00,2.528e+05
432,432,432,432,1,3.732e+05,1.366e+00,7.517e+05,2.750e+00,2.733e+05
448,448,448,448,1,4.014e+05,1.361e+00,8.082e+05,2.740e+00,2.950e+05
464,464,464,464,1,4.306e+05,1.360e+00,8.668e+05,2.738e+00,3.166e+05
480,480,480,480,1,4.608e+05,1.352e+00,9.274e+05,2.721e+00,3.408e+05
496,496,496,496,1,4.920e+05,1.349e+00,9.900e+05,2.714e+00,3.648e+05
512,512,512,512,1,5.243e+05,1.153e+00,1.055e+06,2.320e+00,4.546e+05
528,528,528,528,1,5.576e+05,1.327e+00,1.121e+06,2.669e+00,4.202e+05
544,544,544,544,1,5.919e+05,1.344e+00,1.190e+06,2.702e+00,4.405e+05
560,560,560,560,1,6.272e+05,1.253e+00,1.261e+06,2.519e+00,5.007e+05
576,576,576,576,1,6.636e+05,1.343e+00,1.334e+06,2.699e+00,4.942e+05
592,592,592,592,1,7.009e+05,1.330e+00,1.409e+06,2.674e+00,5.270e+05
608,608,608,608,1,7.393e+05,1.211e+00,1.486e+06,2.435e+00,6.103e+05
624,624,624,624,1,7.788e+05,1.251e+00,1.565e+06,2.513e+00,6.227e+05
640,640,640,640,1,8.192e+05,1.329e+00,1.646e+06,2.671e+00,6.162e+05
656,656,656,656,1,8.607e+05,1.333e+00,1.729e+06,2.678e+00,6.456e+05
672,672,672,672,1,9.032e+05,1.304e+00,1.814e+06,2.620e+00,6.925e+05
688,688,688,688,1,9.467e+05,1.324e+00,1.902e+06,2.660e+00,7.149e+05
704,704,704,704,1,9.912e+05,1.297e+00,1.991e+06,2.605e+00,7.644e+05
720,720,720,720,1,1.037e+06,1.316e+00,2.082e+06,2.642e+00,7.880e+05
736,736,736,736,1,1.083e+06,1.287e+00,2.176e+06,2.585e+00,8.417e+05
752,752,752,752,1,1.131e+06,1.298e+00,2.271e+06,2.606e+00,8.713e+05
768,768,768,768,1,1.180e+06,1.305e+00,2.369e+06,2.621e+00,9.037e+05
784,784,784,784,1,1.229e+06,1.295e+00,2.468e+06,2.599e+00,9.496e+05
800,800,800,800,1,1.280e+06,1.286e+00,2.570e+06,2.581e+00,9.955e+05
816,816,816,816,1,1.332e+06,1.294e+00,2.673e+06,2.597e+00,1.029e+06
832,832,832,832,1,1.384e+06,1.295e+00,2.779e+06,2.600e+00,1.069e+06
848,848,848,848,1,1.438e+06,1.290e+00,2.887e+06,2.590e+00,1.115e+06
864,864,864,864,1,1.493e+06,1.303e+00,2.996e+06,2.616e+00,1.145e+06
880,880,880,880,1,1.549e+06,1.288e+00,3.108e+06,2.585e+00,1.202e+06
896,896,896,896,1,1.606e+06,1.283e+00,3.222e+06,2.574e+00,1.252e+06
912,912,912,912,1,1.663e+06,1.278e+00,3.338e+06,2.565e+00,1.302e+06
928,928,928,928,1,1.722e+06,1.286e+00,3.456e+06,2.580e+00,1.340e+06
944,944,944,944,1,1.782e+06,1.285e+00,3.576e+06,2.579e+00,1.386e+06
960,960,960,960,1,1.843e+06,1.280e+00,3.698e+06,2.568e+00,1.440e+06
976,976,976,976,1,1.905e+06,1.291e+00,3.822e+06,2.590e+00,1.476e+06
992,992,992,992,1,1.968e+06,1.294e+00,3.948e+06,2.595e+00,1.522e+06
1008,1008,1008,1008,1,2.032e+06,1.283e+00,4.076e+06,2.574e+00,1.584e+06
1024,1024,1024,1024,1,2.097e+06,1.272e+00,4.207e+06,2.551e+00,1.649e+06
1040,1040,1040,1040,1,2.163e+06,1.286e+00,4.339e+06,2.580e+00,1.682e+06
1056,1056,1056,1056,1,2.230e+06,1.277e+00,4.473e+06,2.561e+00,1.746e+06
1072,1072,1072,1072,1,2.298e+06,1.276e+00,4.610e+06,2.559e+00,1.801e+06
1088,1088,1088,1088,1,2.367e+06,1.275e+00,4.748e+06,2.558e+00,1.856e+06
1104,1104,1104,1104,1,2.438e+06,1.270e+00,4.889e+06,2.548e+00,1.919e+06
1120,1120,1120,1120,1,2.509e+06,1.261e+00,5.031e+06,2.530e+00,1.989e+06
1136,1136,1136,1136,1,2.581e+06,1.255e+00,5.176e+06,2.516e+00,2.057e+06
1152,1152,1152,1152,1,2.654e+06,1.276e+00,5.322e+06,2.558e+00,2.081e+06
1168,1168,1168,1168,1,2.728e+06,1.286e+00,5.471e+06,2.578e+00,2.122e+06
1184,1184,1184,1184,1,2.804e+06,1.256e+00,5.622e+06,2.519e+00,2.232e+06
1200,1200,1200,1200,1,2.880e+06,1.254e+00,5.774e+06,2.514e+00,2.297e+06
1216,1216,1216,1216,1,2.957e+06,1.272e+00,5.929e+06,2.550e+00,2.325e+06
1232,1232,1232,1232,1,3.036e+06,1.361e+00,6.086e+06,2.728e+00,2.231e+06
1248,1248,1248,1248,1,3.115e+06,1.372e+00,6.245e+06,2.751e+00,2.270e+06
1264,1264,1264,1264,1,3.195e+06,1.370e+00,6.406e+06,2.746e+00,2.333e+06
1280,1280,1280,1280,1,3.277e+06,1.341e+00,6.569e+06,2.688e+00,2.444e+06
1296,1296,1296,1296,1,3.359e+06,1.257e+00,6.734e+06,2.520e+00,2.672e+06
1312,1312,1312,1312,1,3.443e+06,1.258e+00,6.901e+06,2.522e+00,2.737e+06
1328,1328,1328,1328,1,3.527e+06,1.258e+00,7.070e+06,2.522e+00,2.803e+06
1344,1344,1344,1344,1,3.613e+06,1.258e+00,7.241e+06,2.522e+00,2.871e+06
1360,1360,1360,1360,1,3.699e+06,1.265e+00,7.415e+06,2.536e+00,2.924e+06
1376,1376,1376,1376,1,3.787e+06,1.258e+00,7.590e+06,2.521e+00,3.011e+06
1392,1392,1392,1392,1,3.875e+06,1.255e+00,7.767e+06,2.515e+00,3.088e+06
1408,1408,1408,1408,1,3.965e+06,1.258e+00,7.947e+06,2.522e+00,3.151e+06
1424,1424,1424,1424,1,4.056e+06,1.254e+00,8.128e+06,2.513e+00,3.234e+06
1440,1440,1440,1440,1,4.147e+06,1.211e+00,8.312e+06,2.427e+00,3.425e+06
1456,1456,1456,1456,1,4.240e+06,1.136e+00,8.497e+06,2.277e+00,3.732e+06
1472,1472,1472,1472,1,4.334e+06,7.462e-01,8.685e+06,1.495e+00,5.808e+06
1488,1488,1488,1488,1,4.428e+06,1.274e+00,8.874e+06,2.554e+00,3.475e+06
1504,1504,1504,1504,1,4.524e+06,1.242e+00,9.066e+06,2.489e+00,3.642e+06
1520,1520,1520,1520,1,4.621e+06,1.253e+00,9.260e+06,2.512e+00,3.687e+06
